Time,Model,acc_7,acc_5,acc_2,F1_score,Corr,MAE,Loss
2024/12/15 23:53:26 - ,DLF,"(53.9, 0.0)","(55.7, 0.0)","(85.42, 0.0)","(85.27, 0.0)","(76.36, 0.0)","(53.61, 0.0)","(53.66, 0.0)"
2025/09/10 23:12:54 - ,DLF,"(np.float64(52.79), np.float64(0.61))","(np.float64(54.45), np.float64(0.64))","(np.float64(84.08), np.float64(0.72))","(np.float64(84.15), np.float64(0.66))","(np.float64(75.44), np.float64(0.38))","(np.float64(54.82), np.float64(0.35))","(np.float64(54.84), np.float64(0.34))"
2025/10/09 01:20:34 - ,DLF,"(np.float64(52.62), np.float64(0.14))","(np.float64(54.29), np.float64(0.22))","(np.float64(84.07), np.float64(0.66))","(np.float64(84.14), np.float64(0.57))","(np.float64(75.51), np.float64(0.49))","(np.float64(54.84), np.float64(0.37))","(np.float64(54.85), np.float64(0.35))"
2025/10/26 22:55:25 - ,DLF,"(np.float64(52.22), np.float64(0.6))","(np.float64(53.91), np.float64(0.6))","(np.float64(84.29), np.float64(0.36))","(np.float64(84.31), np.float64(0.32))","(np.float64(75.45), np.float64(0.46))","(np.float64(54.67), np.float64(0.39))","(np.float64(54.67), np.float64(0.44))"
2025/10/27 22:02:44 - ,DLF,"(np.float64(52.41), np.float64(0.0))","(np.float64(54.02), np.float64(0.0))","(np.float64(84.31), np.float64(0.0))","(np.float64(84.33), np.float64(0.0))","(np.float64(75.37), np.float64(0.0))","(np.float64(54.52), np.float64(0.0))","(np.float64(54.42), np.float64(0.0))"
2025/10/28 20:10:33 - ,DLF,"(np.float64(52.09), np.float64(0.6))","(np.float64(53.69), np.float64(0.57))","(np.float64(84.47), np.float64(0.7))","(np.float64(84.43), np.float64(0.58))","(np.float64(75.81), np.float64(0.44))","(np.float64(54.52), np.float64(0.39))","(np.float64(54.5), np.float64(0.45))"
2025/10/29 21:49:58 - ,DLF,"(np.float64(52.54), np.float64(0.4))","(np.float64(54.04), np.float64(0.31))","(np.float64(84.48), np.float64(0.55))","(np.float64(84.5), np.float64(0.51))","(np.float64(75.52), np.float64(0.35))","(np.float64(54.84), np.float64(0.3))","(np.float64(54.81), np.float64(0.31))"
2025/10/30 23:22:25 - ,DLF,"(np.float64(52.61), np.float64(0.17))","(np.float64(54.3), np.float64(0.09))","(np.float64(83.35), np.float64(0.86))","(np.float64(83.45), np.float64(0.73))","(np.float64(75.42), np.float64(0.17))","(np.float64(55.1), np.float64(0.26))","(np.float64(55.06), np.float64(0.25))"
2025/10/31 23:10:18 - ,DLF,"(np.float64(52.51), np.float64(0.56))","(np.float64(54.25), np.float64(0.46))","(np.float64(84.22), np.float64(0.6))","(np.float64(84.22), np.float64(0.5))","(np.float64(75.68), np.float64(0.35))","(np.float64(54.76), np.float64(0.37))","(np.float64(54.65), np.float64(0.37))"
2025/11/04 15:36:18 - ,DLF,"(np.float64(54.13), np.float64(0.0))","(np.float64(55.89), np.float64(0.0))","(np.float64(83.96), np.float64(0.0))","(np.float64(84.04), np.float64(0.0))","(np.float64(75.44), np.float64(0.0))","(np.float64(54.36), np.float64(0.0))","(np.float64(54.4), np.float64(0.0))"
2025/11/09 03:53:09 - ,DLF,"(np.float64(52.51), np.float64(0.56))","(np.float64(54.25), np.float64(0.46))","(np.float64(84.22), np.float64(0.6))","(np.float64(84.22), np.float64(0.5))","(np.float64(75.68), np.float64(0.35))","(np.float64(54.76), np.float64(0.37))","(np.float64(54.65), np.float64(0.37))"
2025/11/13 17:46:49 - ,DLF,"(np.float64(54.13), np.float64(0.0))","(np.float64(55.89), np.float64(0.0))","(np.float64(83.96), np.float64(0.0))","(np.float64(84.04), np.float64(0.0))","(np.float64(75.44), np.float64(0.0))","(np.float64(54.36), np.float64(0.0))","(np.float64(54.4), np.float64(0.0))"
2025/11/13 22:35:07 - ,DLF,"(np.float64(52.76), np.float64(0.0))","(np.float64(54.48), np.float64(0.0))","(np.float64(82.97), np.float64(0.0))","(np.float64(83.09), np.float64(0.0))","(np.float64(75.16), np.float64(0.0))","(np.float64(54.98), np.float64(0.0))","(np.float64(55.12), np.float64(0.0))"
