Time,Model,acc_7,acc_5,acc_2,F1_score,Corr,MAE,Loss
2024/12/16 04:59:28 - ,DLF,"(47.08, 0.0)","(52.33, 0.0)","(85.06, 0.0)","(85.04, 0.0)","(78.14, 0.0)","(73.08, 0.0)","(73.07, 0.0)"
2025/10/16 13:47:09 - ,DLF,"(np.float64(44.35), np.float64(1.46))","(np.float64(52.57), np.float64(1.71))","(np.float64(84.38), np.float64(0.88))","(np.float64(84.39), np.float64(0.85))","(np.float64(78.64), np.float64(0.59))","(np.float64(75.03), np.float64(0.89))","(np.float64(75.02), np.float64(0.9))"
2025/10/16 23:09:28 - ,DLF,"(np.float64(43.96), np.float64(1.06))","(np.float64(51.78), np.float64(1.22))","(np.float64(84.18), np.float64(0.53))","(np.float64(84.2), np.float64(0.54))","(np.float64(78.34), np.float64(1.37))","(np.float64(75.94), np.float64(2.45))","(np.float64(75.98), np.float64(2.44))"
2025/10/29 12:06:13 - ,DLF,"(np.float64(44.17), np.float64(1.14))","(np.float64(52.53), np.float64(0.89))","(np.float64(83.64), np.float64(0.68))","(np.float64(83.69), np.float64(0.67))","(np.float64(78.02), np.float64(0.47))","(np.float64(76.03), np.float64(1.14))","(np.float64(76.08), np.float64(1.07))"
2025/10/29 13:44:12 - ,DLF,"(np.float64(44.07), np.float64(1.31))","(np.float64(52.53), np.float64(1.34))","(np.float64(84.2), np.float64(0.79))","(np.float64(84.26), np.float64(0.79))","(np.float64(79.05), np.float64(0.58))","(np.float64(74.95), np.float64(1.7))","(np.float64(75.02), np.float64(1.67))"
2025/11/01 17:56:01 - ,DLF,"(np.float64(44.61), np.float64(0.0))","(np.float64(52.92), np.float64(0.0))","(np.float64(84.76), np.float64(0.0))","(np.float64(84.8), np.float64(0.0))","(np.float64(79.61), np.float64(0.0))","(np.float64(73.84), np.float64(0.0))","(np.float64(73.87), np.float64(0.0))"
2025/11/01 20:48:24 - ,DLF,"(np.float64(44.61), np.float64(0.0))","(np.float64(52.92), np.float64(0.0))","(np.float64(84.76), np.float64(0.0))","(np.float64(84.8), np.float64(0.0))","(np.float64(79.61), np.float64(0.0))","(np.float64(73.84), np.float64(0.0))","(np.float64(73.87), np.float64(0.0))"
2025/11/01 22:06:38 - ,DLF,"(np.float64(44.61), np.float64(0.0))","(np.float64(52.92), np.float64(0.0))","(np.float64(84.76), np.float64(0.0))","(np.float64(84.8), np.float64(0.0))","(np.float64(79.61), np.float64(0.0))","(np.float64(73.84), np.float64(0.0))","(np.float64(73.87), np.float64(0.0))"
2025/11/01 23:11:00 - ,DLF,"(np.float64(43.88), np.float64(0.0))","(np.float64(51.9), np.float64(0.0))","(np.float64(85.82), np.float64(0.0))","(np.float64(85.78), np.float64(0.0))","(np.float64(80.06), np.float64(0.0))","(np.float64(72.83), np.float64(0.0))","(np.float64(72.84), np.float64(0.0))"
2025/11/02 12:19:38 - ,DLF,"(np.float64(44.31), np.float64(1.29))","(np.float64(53.25), np.float64(1.42))","(np.float64(84.96), np.float64(0.93))","(np.float64(84.92), np.float64(0.91))","(np.float64(78.77), np.float64(0.3))","(np.float64(74.51), np.float64(0.87))","(np.float64(74.5), np.float64(0.9))"
2025/11/02 23:33:36 - ,DLF,"(np.float64(43.25), np.float64(0.27))","(np.float64(51.85), np.float64(0.3))","(np.float64(84.55), np.float64(0.85))","(np.float64(84.55), np.float64(0.81))","(np.float64(78.41), np.float64(0.38))","(np.float64(75.53), np.float64(0.38))","(np.float64(75.56), np.float64(0.39))"
2025/11/03 11:27:34 - ,DLF,"(np.float64(45.92), np.float64(1.35))","(np.float64(53.93), np.float64(0.93))","(np.float64(84.3), np.float64(0.57))","(np.float64(84.29), np.float64(0.56))","(np.float64(78.87), np.float64(0.95))","(np.float64(73.95), np.float64(0.46))","(np.float64(73.93), np.float64(0.49))"
2025/11/03 23:11:40 - ,DLF,"(np.float64(45.92), np.float64(1.35))","(np.float64(53.93), np.float64(0.93))","(np.float64(84.3), np.float64(0.57))","(np.float64(84.29), np.float64(0.56))","(np.float64(78.87), np.float64(0.95))","(np.float64(73.95), np.float64(0.46))","(np.float64(73.93), np.float64(0.49))"
2025/11/06 11:09:20 - ,DLF,"(np.float64(43.88), np.float64(0.0))","(np.float64(53.79), np.float64(0.0))","(np.float64(84.3), np.float64(0.0))","(np.float64(84.32), np.float64(0.0))","(np.float64(79.08), np.float64(0.0))","(np.float64(75.13), np.float64(0.0))","(np.float64(75.23), np.float64(0.0))"
2025/11/06 19:08:08 - ,DLF,"(np.float64(43.37), np.float64(0.51))","(np.float64(51.75), np.float64(0.0))","(np.float64(84.68), np.float64(0.08))","(np.float64(84.65), np.float64(0.06))","(np.float64(78.62), np.float64(0.37))","(np.float64(75.12), np.float64(0.13))","(np.float64(75.11), np.float64(0.15))"
2025/11/06 21:11:31 - ,DLF,"(np.float64(44.97), np.float64(0.66))","(np.float64(52.98), np.float64(0.36))","(np.float64(84.76), np.float64(0.45))","(np.float64(84.76), np.float64(0.42))","(np.float64(79.55), np.float64(0.2))","(np.float64(73.87), np.float64(0.56))","(np.float64(73.87), np.float64(0.56))"
2025/11/06 23:39:49 - ,DLF,"(np.float64(44.03), np.float64(0.88))","(np.float64(52.18), np.float64(1.46))","(np.float64(85.22), np.float64(0.3))","(np.float64(85.15), np.float64(0.28))","(np.float64(78.46), np.float64(0.3))","(np.float64(75.45), np.float64(0.27))","(np.float64(75.46), np.float64(0.27))"
2025/11/07 14:04:14 - ,DLF,"(np.float64(44.82), np.float64(0.22))","(np.float64(53.43), np.float64(0.51))","(np.float64(85.98), np.float64(0.15))","(np.float64(85.93), np.float64(0.16))","(np.float64(80.53), np.float64(0.32))","(np.float64(72.72), np.float64(0.76))","(np.float64(72.77), np.float64(0.78))"
2025/11/07 15:23:26 - ,DLF,"(np.float64(43.08), np.float64(0.66))","(np.float64(51.32), np.float64(0.88))","(np.float64(85.06), np.float64(0.91))","(np.float64(85.04), np.float64(0.87))","(np.float64(78.69), np.float64(0.24))","(np.float64(77.16), np.float64(0.49))","(np.float64(77.18), np.float64(0.5))"
2025/11/07 16:39:28 - ,DLF,"(np.float64(44.54), np.float64(0.08))","(np.float64(53.06), np.float64(0.0))","(np.float64(85.06), np.float64(0.76))","(np.float64(85.02), np.float64(0.74))","(np.float64(79.27), np.float64(0.54))","(np.float64(73.5), np.float64(1.53))","(np.float64(73.51), np.float64(1.51))"
2025/11/11 16:17:37 - ,DLF,"(np.float64(44.07), np.float64(1.31))","(np.float64(52.53), np.float64(1.34))","(np.float64(84.2), np.float64(0.79))","(np.float64(84.26), np.float64(0.79))","(np.float64(79.05), np.float64(0.58))","(np.float64(74.95), np.float64(1.7))","(np.float64(75.02), np.float64(1.67))"
